Title,Description,Regarding
The customer is really excited about extending the contract for HP Printers and looking forward to their contract,The customer is really excited about extending the contract for HP Printers and looking forward to their contract,097ccd0f-2f0f-e911-a951-000d3a1bc80d
The business is expanding and they are looking to install HP Printers in the new space too,The business is expanding and they are looking to install HP Printers in the new space too,097ccd0f-2f0f-e911-a951-000d3a1bc80d
The customer is really excited about extending the contract for Lenovo for the laptops and looking forward to their contract,The customer is really excited about extending the contract for Lenovo for the laptops and looking forward to their contract,140e3423-300f-e911-a951-000d3a1bc80d
The business is expanding and the customer is on a hiring spree. They are planning to give Lenovo laptops to all the new employees,The business is expanding and the customer is on a hiring spree. They are planning to give Lenovo laptops to all the new employees,140e3423-300f-e911-a951-000d3a1bc80d
Amazon Echo is known for its rich features and will be a perfect gift to the employees,Amazon Echo is known for its rich features and will be a perfect gift to the employees,1607937d-300f-e911-a951-000d3a1bc80d
"The employees are really excited towards using Amazon Echo and if this goes well, the customer is planning to go with other Amazon products for subsequent holiday gifts","The employees are really excited towards using Amazon Echo and if this goes well, the customer is planning to go with other Amazon products for subsequent holiday gifts",1607937d-300f-e911-a951-000d3a1bc80d
The customers are thrilled about BMW 4 Series,The customers are thrilled about BMW 4 Series,2a9b1dcd-300f-e911-a951-000d3a1bc80d
"BMW is not just about features, but also about its design. Not just the car enthusiasts, other people are also amazed after using the car","BMW is not just about features, but also about its design. Not just the car enthusiasts, other people are also amazed after using the car",2a9b1dcd-300f-e911-a951-000d3a1bc80d
Apple Macbook is known for its ease of use and development work. The employees are really excited about it,Apple Macbook is known for its ease of use and development work. The employees are really excited about it,35bfb0df-300f-e911-a951-000d3a1bc80d
"The senior dev team not just develops, then analyse and design the solution. Macbooks and the different apps its has will help this team to do their work","The senior dev team not just develops, then analyse and design the solution. Macbooks and the different apps its has will help this team to do their work",35bfb0df-300f-e911-a951-000d3a1bc80d
"The mouse that the employees were using was quite problematic. So, after researching, the customer has planned to buy logitech mouse now","The mouse that the employees were using was quite problematic. So, after researching, the customer has planned to buy logitech mouse now",3947ea7f-1a0f-e911-a951-000d3a1bc80d
"Once the customer feels that Logitech is the right brand for them, they will also replace the keyboards with Logitech keyboards","Once the customer feels that Logitech is the right brand for them, they will also replace the keyboards with Logitech keyboards",3947ea7f-1a0f-e911-a951-000d3a1bc80d
"Customer feels that Tesla Model 3 does not need an advertisement, hence, they have already pre-booked the car","Customer feels that Tesla Model 3 does not need an advertisement, hence, they have already pre-booked the car",4045006b-2f0f-e911-a951-000d3a1bc80d
The business is expanding and the customer has decided to get Tesla cars for all new locations,The business is expanding and the customer has decided to get Tesla cars for all new locations,4045006b-2f0f-e911-a951-000d3a1bc80d
Bose is known for their high quality headphones and the employees are really happy about getting the same,Bose is known for their high quality headphones and the employees are really happy about getting the same,49f08e92-2f0f-e911-a951-000d3a1bc80d
The company has also decided to give Bose Headphones to all the new employees joining the senior dev team,The company has also decided to give Bose Headphones to all the new employees joining the senior dev team,49f08e92-2f0f-e911-a951-000d3a1bc80d
The senior management team has played a great role in the success of the project and hence the customer wants to gift them iphone x for their efforts,The senior management team has played a great role in the success of the project and hence the customer wants to gift them iphone x for their efforts,4c99cc5e-2f0f-e911-a951-000d3a1bc80d
Iphone X is known for its rich features and the customer is really excited about this ,Iphone X is known for its rich features and the customer is really excited about this ,4c99cc5e-2f0f-e911-a951-000d3a1bc80d
"The headphones that the employees were using was quite problematic. So, after researching, the customer has planned to buy jbl headphones now","The headphones that the employees were using was quite problematic. So, after researching, the customer has planned to buy jbl headphones now",6cca40b8-300f-e911-a951-000d3a1bc80d
The employees has been requesting for bluetooth headphones so that they do not need to stick to their desks which on calls for hours. The customer hopes that the bluetooth headphones will solve the issue,The employees has been requesting for bluetooth headphones so that they do not need to stick to their desks which on calls for hours. The customer hopes that the bluetooth headphones will solve the issue,6cca40b8-300f-e911-a951-000d3a1bc80d
"Sometimes it becomes difficult for the customer to track the vehicles, hence, gps trackers will help them to resolve the issue","Sometimes it becomes difficult for the customer to track the vehicles, hence, gps trackers will help them to resolve the issue",9b46ee9e-2f0f-e911-a951-000d3a1bc80d
The drivers are also relieved after they realised that a gps tracker will be attached to their vehicles.,The drivers are also relieved after they realised that a gps tracker will be attached to their vehicles.,9b46ee9e-2f0f-e911-a951-000d3a1bc80d
The customer is really happy with the products of Amazon and is hoping the Amazon Fire TV Stick will make the employees happy,The customer is really happy with the products of Amazon and is hoping the Amazon Fire TV Stick will make the employees happy,9eb4916e-300f-e911-a951-000d3a1bc80d
The customer is really thrilled with the all in one feature of Amazon Fire TV Stick ,The customer is really thrilled with the all in one feature of Amazon Fire TV Stick ,9eb4916e-300f-e911-a951-000d3a1bc80d
The employees are thrilled to get an iphone as a gift for holiday season,The employees are thrilled to get an iphone as a gift for holiday season,b9c2ff77-2f0f-e911-a951-000d3a1bc80d
Iphone is a brand in itself and the company is really pleased that Iphone SE is an economical option,Iphone is a brand in itself and the company is really pleased that Iphone SE is an economical option,b9c2ff77-2f0f-e911-a951-000d3a1bc80d
Iphone 8 is richly featured phone and a perfect welcome gift to the new employees,Iphone 8 is richly featured phone and a perfect welcome gift to the new employees,be33db19-310f-e911-a951-000d3a1bc80d
Iphone is a brand in itself and the company is really pleased that Iphone 8 will be a great cell phone for the employees,Iphone is a brand in itself and the company is really pleased that Iphone 8 will be a great cell phone for the employees,be33db19-310f-e911-a951-000d3a1bc80d
Samsung AC is a great prize for the winners of the event,Samsung AC is a great prize for the winners of the event,c4e0de5a-300f-e911-a951-000d3a1bc80d
Samsung has a very old relationship with the customer and the customer is thrilled that Samsung is continuing the same,Samsung has a very old relationship with the customer and the customer is thrilled that Samsung is continuing the same,c4e0de5a-300f-e911-a951-000d3a1bc80d
Audi A8 is know for its rich features and higher acceleration. The customer is really excited to have it,Audi A8 is know for its rich features and higher acceleration. The customer is really excited to have it,d39730cd-2f0f-e911-a951-000d3a1bc80d
